billede,gruppe,flyt_px,baand,note,dom
273024_001127,ekstra_uden_facit,16,23,,ok
273025_000112,ekstra_uden_facit,125,17,,ok
273025_000904,ekstra_uden_facit,91,19,,ok
273025_001784,ekstra_uden_facit,119,17,,ok
273034_000808,ekstra_uden_facit,22,17,,ok
273035_000244,ekstra_uden_facit,7,20,,ok
273035_001018,ekstra_uden_facit,32,22,,ok
273036_000476,ekstra_uden_facit,132,18,,ok
273036_001330,ekstra_uden_facit,72,19,,ok
273037_000562,ekstra_uden_facit,27,20,,ok
273045_000840,ekstra_uden_facit,2,23,,ok
273046_000350,ekstra_uden_facit,67,22,,ok
273046_001269,ekstra_uden_facit,64,15,,ok
273047_000580,ekstra_uden_facit,127,16,,ok
273048_000102,ekstra_uden_facit,5,21,,ok
273048_000910,ekstra_uden_facit,7,23,,ok
273056_000952,ekstra_uden_facit,26,20,,ok
273057_000498,ekstra_uden_facit,27,22,,ok
273057_001382,ekstra_uden_facit,10,23,,ok
273058_000692,ekstra_uden_facit,4,24,,ok
273059_000110,ekstra_uden_facit,205,16,,ok
273059_001054,ekstra_uden_facit,162,22,,ok
273067_000906,ekstra_uden_facit,4,24,,ok
273067_001910,ekstra_uden_facit,5,24,,ok
273068_000711,ekstra_uden_facit,28,24,,ok
273069_000072,ekstra_uden_facit,17,23,,ok
273069_000948,ekstra_uden_facit,6,23,,ok
273070_000212,ekstra_uden_facit,10,21,,ok
273084_001224,ekstra_uden_facit,182,16,,ok
273085_000070,ekstra_uden_facit,27,16,,ok
273085_001208,ekstra_uden_facit,47,17,,ok
273086_000042,ekstra_uden_facit,220,17,,ok
273086_001346,ekstra_uden_facit,112,14,,ok
273087_000496,ekstra_uden_facit,20,21,,ok
273095_001478,ekstra_uden_facit,102,16,,ok
273096_001232,ekstra_uden_facit,123,18,,ok
273097_000899,ekstra_uden_facit,63,19,,ok
273098_000446,ekstra_uden_facit,134,19,,ok
273099_000152,ekstra_uden_facit,40,19,,ok
273099_001340,ekstra_uden_facit,31,20,,ok
