billede,gruppe,flyt_px,inde,ude,note,dom
273101_001169,oeve,18,,,for lidt blaek,ok
273102_001064,oeve,18,,,for lidt blaek,ok
273102_001065,oeve,7,,,for lidt blaek,ok
273102_001066,oeve,10,,,for lidt blaek,ok
273102_001067,oeve,10,,,for lidt blaek,ok
273102_001068,oeve,18,,,for lidt blaek,ok
273102_001069,oeve,1,,,for lidt blaek,ok
273102_001070,oeve,25,,,for lidt blaek,ok
273103_001436,oeve,146,0.815,0.809,,ok
273103_001437,oeve,19,,,for lidt blaek,ok
273103_001438,oeve,86,0.598,0.58,,ok
273103_001439,oeve,12,,,for lidt blaek,ok
273103_001440,oeve,15,,,for lidt blaek,ok
273103_001441,oeve,15,,,for lidt blaek,ok
273103_001442,oeve,31,,,for lidt blaek,ok
273103_001460,oeve,51,0.589,0.669,,ok
273103_001461,oeve,26,,,for lidt blaek,ok
273103_001462,oeve,39,0.539,0.519,,ok
273103_001463,oeve,14,,,for lidt blaek,ok
273103_001464,oeve,91,,,for lidt blaek,ok
273103_001465,oeve,14,,,for lidt blaek,ok
273103_001466,oeve,74,0.611,0.843,,ok
273103_001467,oeve,18,,,for lidt blaek,ok
273103_001468,oeve,35,,,for lidt blaek,ok
273103_001469,oeve,17,,,for lidt blaek,ok
273103_001470,oeve,23,,,for lidt blaek,ok
273103_001471,oeve,134,,,for lidt blaek,ok
273104_001633,oeve,180,0.671,0.673,,ok
273104_001634,oeve,14,,,for lidt blaek,ok
273104_001635,oeve,30,,,for lidt blaek,ok
273105_001552,oeve,11,,,for lidt blaek,ok
273105_001553,oeve,40,,,for lidt blaek,nabo_let
273105_001554,oeve,13,,,for lidt blaek,ok
273105_001568,oeve,13,,,for lidt blaek,ok
273105_001569,oeve,6,,,for lidt blaek,ok
273105_001570,oeve,15,,,for lidt blaek,ok
273105_001571,oeve,17,,,for lidt blaek,ok
273105_001572,oeve,11,,,for lidt blaek,ok
273105_001573,oeve,12,,,for lidt blaek,ok
273105_001574,oeve,23,,,for lidt blaek,ok
273105_001644,oeve,4,0.661,0.401,,ok
273105_001645,oeve,8,,,for lidt blaek,ok
273105_001646,oeve,37,,,for lidt blaek,ok
273105_001707,oeve,9,0.427,0.347,,ok
273105_001708,oeve,131,0.544,0.536,,ok
273105_001709,oeve,143,0.639,0.466,,ok
273105_001710,oeve,8,0.691,0.752,,ok
273105_001711,oeve,18,,,for lidt blaek,ok
273105_001712,oeve,25,0.846,0.285,,ok
273105_001713,oeve,23,0.331,0.298,,ok
273105_001714,oeve,16,,,for lidt blaek,ok
273105_001715,oeve,6,,,for lidt blaek,ok
273105_001716,oeve,27,,,for lidt blaek,ok
273105_001717,oeve,6,,,for lidt blaek,ok
273106_001693,oeve,19,0.734,0.479,,ok
273106_001694,oeve,15,0.477,0.449,,ok
273106_001695,oeve,16,,,for lidt blaek,ok
273107_001863,oeve,20,,,for lidt blaek,ok
273107_001864,oeve,8,,,for lidt blaek,ok
273107_001865,oeve,137,0.641,0.496,,ok
273107_001866,oeve,7,,,for lidt blaek,ok
273107_001867,oeve,11,,,for lidt blaek,ok
273107_001868,oeve,7,,,for lidt blaek,ok
273107_001869,oeve,13,,,for lidt blaek,ok
273108_001537,oeve,8,,,for lidt blaek,ok
273108_001538,oeve,6,,,for lidt blaek,ok
273108_001539,oeve,21,,,for lidt blaek,ok
273108_001553,oeve,8,,,for lidt blaek,ok
273108_001554,oeve,2,0.524,0.352,,ok
273108_001555,oeve,6,0.302,0.516,,ok
273108_001556,oeve,10,0.653,0.097,,ok
273108_001557,oeve,3,,,for lidt blaek,ok
273108_001558,oeve,9,,,for lidt blaek,ok
273108_001559,oeve,9,,,for lidt blaek,ok
273109_000081,oeve,20,,,for lidt blaek,ok
273109_000082,oeve,6,0.743,0.291,,ok
273109_000083,oeve,47,,,for lidt blaek,ok
273110_001525,oeve,11,,,for lidt blaek,ok
273110_001526,oeve,8,0.874,0.503,,ok
273110_001527,oeve,26,,,for lidt blaek,ok
273110_001528,oeve,5,,,for lidt blaek,ok
273110_001529,oeve,7,,,for lidt blaek,ok
273110_001530,oeve,8,,,for lidt blaek,ok
273110_001531,oeve,16,,,for lidt blaek,ok
273110_001532,oeve,9,,,for lidt blaek,ok
273110_001533,oeve,22,,,for lidt blaek,ok
273110_001534,oeve,228,,,for lidt blaek,ok
273111_001370,oeve,92,0.555,0.496,,ok
273111_001371,oeve,11,0.549,0.493,,ok
