sbid;name;year;month;date_from;date_to;digital_version_url
273222;1907, Februar;1907;Februar;1907-02-01;1907-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273222
273223;1907, Marts;1907;Marts;1907-03-01;1907-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273223
273224;1907, April;1907;April;1907-04-01;1907-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273224
273225;1907, Maj;1907;Maj;1907-05-01;1907-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273225
273226;1907, Juni;1907;Juni;1907-06-01;1907-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273226
273227;1907, Juli;1907;Juli;1907-07-01;1907-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273227
273228;1907, August;1907;August;1907-08-01;1907-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273228
273229;1907, September;1907;September;1907-09-01;1907-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273229
273230;1907, Oktober;1907;Oktober;1907-10-01;1907-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273230
273231;1907, November;1907;November;1907-11-01;1907-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273231
273232;1907, December;1907;December;1907-12-01;1907-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273232
273233;1908, Februar;1908;Februar;1908-02-01;1908-02-29;https://kbharkiv.dk/permalink/kildeviser/unit/273233
273234;1908, Marts;1908;Marts;1908-03-01;1908-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273234
273235;1908, April;1908;April;1908-04-01;1908-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273235
273236;1908, Maj;1908;Maj;1908-05-01;1908-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273236
273237;1908, Juni;1908;Juni;1908-06-01;1908-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273237
273238;1908, Juli;1908;Juli;1908-07-01;1908-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273238
273239;1908, August;1908;August;1908-08-01;1908-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273239
273240;1908, September;1908;September;1908-09-01;1908-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273240
273241;1908, Oktober;1908;Oktober;1908-10-01;1908-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273241
273242;1908, November;1908;November;1908-11-01;1908-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273242
273243;1908, December;1908;December;1908-12-01;1908-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273243
273244;1909, Februar;1909;Februar;1909-02-01;1909-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273244
273245;1909, Marts;1909;Marts;1909-03-01;1909-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273245
273246;1909, April;1909;April;1909-04-01;1909-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273246
273247;1909, Maj;1909;Maj;1909-05-01;1909-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273247
273248;1909, Juni;1909;Juni;1909-06-01;1909-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273248
273249;1909, Juli;1909;Juli;1909-07-01;1909-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273249
273250;1909, August;1909;August;1909-08-01;1909-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273250
273251;1909, September;1909;September;1909-09-01;1909-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273251
273252;1909, Oktober;1909;Oktober;1909-10-01;1909-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273252
273253;1909, November;1909;November;1909-11-01;1909-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273253
273254;1909, December;1909;December;1909-12-01;1909-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273254
273255;1910, Februar;1910;Februar;1910-02-01;1910-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273255
